state,state_population,total_consumers,new_consumers_2025,total_reenrollees,active_reenrollees,auto_reenrollees,pct_auto_reenroll,aptc_consumers,pct_aptc,pct_auto_reenroll_aptc,avg_aptc_amount,total_spent_aptc,avg_premium_after_aptc,pct_aptc_reenrollees,post_policy_pct_aptc_reenrollees,post_policy_aptc_reenrollees,post_policy_total_aptc,post_policy_aptc_saved,post_policy_aptc_lost_coverage,post_policy_aptc_uninsured,current_uninsured_rate,post_policy_uninsured_rate,current_uncomp_spending,post_policy_uncomp_spending,change_in_uncomp_spending
AK,737270,28736,5735,23001,16312,6689,0.2908,25170,0.8759,0.2658,1008,25371360,115,0.9138,0.5363,13498.2796,13606265.84,11765094.16,11672,5836,0.111,0.1189,100719214.1,107887518.5,7168304.426
AL,5193088,477838,74133,403705,185028,218677,0.5417,457379,0.9572,0.4781,610,279001190,44,0.8826,0.5661,258901.441,157929879,121071311,198478,99239,0.082,0.1011,524085713.9,646159337.5,122073623.6
AR,3114791,166639,36976,129663,64330,65333,0.5039,153328,0.9201,0.4261,507,77737296,88,0.8457,0.5213,79934.7624,40526924.54,37210371.46,73393,36697,0.093,0.1048,356512405.7,401747313,45234907.38
AZ,7623818,423025,76584,346441,157449,188992,0.5455,379185,0.8964,0.4984,458,173666730,69,0.9136,0.5487,208060.2907,95291613.14,78375116.86,171125,85562,0.102,0.1132,957051875.8,1062139925,105088049.1
CA,39355309,1979504,345711,1633793,433022,1200771,0.735,1751690,0.8849,0.6855,562,984449780,135,0.9327,0.553,968662.9763,544388592.7,440061187.3,783027,391514,0.059,0.0689,2857709807,3337223826,479514018.5
CO,6012561,282481,49047,233434,119016,114418,0.4902,225484,0.7982,0.5074,457,103046188,138,1.0353,0.5537,124843.3469,57053409.53,45992778.47,100641,50320,0.078,0.0864,577187457.6,639346106.8,62158649.28
CT,3688496,151151,28909,122242,29190,93052,0.7612,133192,0.8812,0.6986,789,105088488,146,0.9178,0.5419,72170.9405,56942872.05,48145615.95,61021,30511,0.057,0.0653,258753932.9,296432137.1,37678204.26
DC,693645,14930,3432,11498,1186,10312,0.8969,4217,0.2825,2.4453,622,2622974,443,2.7266,0.516,2175.9099,1353415.958,1269558.042,2041,1021,0.047,0.0485,40123416.41,41403950.98,1280534.566
DE,1059952,52931,9732,43199,23356,19843,0.4593,48014,0.9071,0.4133,586,28136204,169,0.8997,0.5468,26254.6532,15385226.78,12750977.22,21759,10880,0.069,0.0793,90011516.02,103448017.7,13436501.67
FL,23462518,4735415,722759,4012656,2456717,1555939,0.3878,4601986,0.9718,0.3381,591,2719773726,49,0.8719,0.5677,2612726.68,1544121468,1175652258,1989259,994630,0.109,0.1514,3147486701,4371830151,1224343451
